Publication Year,Author,Title,Journal,DOI,Url,Abstract Note,单位
2026,"Li, Mingzhu; Zhang, Xiaobo; Zhao, Xing; Wang, Jixian; Zhao, Chao; Zhao, Yun; Li, Jingran; Shen, Danhua; Wei, Lihui",Preliminary study on PAX1/JAM3 methylation and HPV viral load in CIN3-like squamous cell carcinoma: Are there differences from CIN3 and early invasive carcinoma?,Clinical Epigenetics,10.1186/s13148-026-02201-1,https://link.springer.com/10.1186/s13148-026-02201-1,"Objective Cervical intraepithelial neoplasia grade 3 (CIN 3)-like squamous cell carcinoma (SCC) is a recently identified subtype of cervical cancer with a deceptive growth pattern. It mimics the phenotype of CIN 3, involving endocervical crypts, presenting significant challenges and potential for diagnostic confusion. This study aims to clarify the differences in epigenetic profiles and HPV viral load(VL) among CIN 3, CIN 3-like SCC, early invasive SCC, and invasive SCC. Methods A retrospective analysis was conducted on 138 cases of cervical high-grade lesions and SCC diagnosed at Peking University People's Hospital from March 2022 to June 2024. The cases included 65 high-grade squamous intraepithelial lesions (HSIL) [23 CIN 2 and 42 CIN 3] and 73 SCC [27 CIN 3-like SCC, 21 early invasive SCC, and 25 invasive SCC]. Histological samples were analyzed for methylation levels of the epigenetic factors PAX1 and JAM3, as well as HPV VL. Results Methylation levels of PAX1 and JAM3, as well as total HPV VL, were significantly higher in cervical cancer than in HSIL(<?0.001). The PAX1 methylation level of CIN3 was significantly lower than that of invasive SCC, but there was no significant difference compared with CIN3 and CIN 3-like SCC; For the PAX1/JAM3 methylation levels in CIN 3-like SCC, no statistically significant differences were observed when compared with those in early invasive SCC and invasive SCC. The HPV VL in CIN 3-like SCC was significantly higher than that in CIN 3 and early invasive SCC, but no significant difference was found compared with invasive SCC. In the same stage of FIGO, although PAX1/JAM3 methylation and HPV VL (especially HPV16/18 VL) showed a tendency to increase in CIN3-like SCC compared with early invasive SCC, the difference was not significant, further expansion of sample size is needed to confirm this. Conclusion PAX1 and JAM3 methylation levels are significantly higher in SCC than HSIL, but no difference in methylation levels was observed between CIN 3-like SCC, early invasive SCC, and invasive SCC. Total HPV VL (especially HPV16/18 VL) in CIN3-like SCC is significantly higher than that in CIN3 and early invasive SCC, suggesting potential shared and distinct features in epigenetics and HPV VL between CIN3-like SCC and early invasive SCC, which need more molecular biology research to explore the difference.",Peking University People’s Hospital
2026,"Ellis, Laura Burney; Tighe, Jack; Bowden, Sarah J.; Kechagias, Konstantinos S.; Paraskevaidi, Maria; Garg, Akanksha; Paraskevaidis, Evangelos; Arbyn, Marc; Veroniki, Areti Angeliki; Kalliala, Ilkka; Flanagan, James M.; Kyrgiou, Maria",Diagnostic testing accuracy of DNA methylation tests for detection of high-grade cervical intraepithelial neoplasia and cervical cancer: A systematic review and meta-analysis,European Journal of Cancer,10.1016/j.ejca.2026.116823,https://www.ejcancer.com/article/S0959-8049(26)00604-0/fulltext,"Background Human papillomavirus (HPV)-based cervical screening offers stronger protection against cervical intraepithelial neoplasia (CIN) than screening with cytology. DNA methylation tests have been proposed as an alternative triage test to cytology, although there is currently no consensus on the most accurate gene or gene panels (“markers”). Methods We conducted a meta-analysis of accuracy of human and HPV methylation markers to detect CIN2 or worse (CIN2+), CIN3+, and cervical cancer (CRD42022299760). We systematically searched three databases to March 2025. We used a bivariate random-effects model to produce pooled sensitivity, specificity, diagnostic odds ratios (DORs), positive and negative likelihood ratios (LR+, LR-) for each marker at each available endpoint. Our primary analysis was in HPV+ women, and secondary analysis included all data regardless of HPV positivity. Results We included 51 studies exploring 13 methylation markers in 28,977 HPV+ women, and in total 125 studies assessing 32 markers in 49,242 women. For HPV+, the markers with the highest DORs were JAM3 (20.82 [95%CI 14.41–30.08]), C13ORF18 (19.50 [95%CI 11.65–32.65]), and PAX1 (17.13 [95%CI 9.20–31.89]). EPB41L3 had the lowest LR- (0.26 [95%CI 0.19–0.35]). In all women, SOX1 had the highest DOR (29.72 [95%CI 12.84–68.81]), although JAM3 and PAX1 maintained good accuracy (DORs 26.73 [95%CI 19.97–35.77] and 23.96 [95%CI 17.32–33.15]). Conclusion Several methylation markers reported good sensitivity in the detection of CIN3+ whilst maintaining high specificity. These have potential to reduce unnecessary referrals to colposcopy. Methylation markers may permit efficient triage on self-samples which are inappropriate for cytology, although this requires further study ideally in screening cohorts.",Imperial College London
2025,"Yang, Li; Wang, Zhao-Xin; Zhu, Yuan-Hang; Bai, Yang; Liou, Yu-ligh; Li, Qian; Shi, Zhong-Na; Shi, Qiu-Ling; Ren, Chen-Chen",Focused ultrasound ablation for women with cervical lesions: Protocol of a randomized controlled trial,Reproductive and Developmental Medicine,10.1097/RD9.0000000000000132,https://journals.lww.com/10.1097/RD9.0000000000000132,"Objective: Persistent high-risk human papillomavirus (HPV) infection causes precancerous cervical lesions with subsequent progression to cervical cancer. HPV infection is very common in women of childbearing age, particularly with early onset of sexual activity. Treatments such as cold knife conization are usually used for women of childbearing age with cervical intraepithelial neoplasia 2+, which may cause delayed fertility, cervical insufficiency, and other adverse pregnancy outcomes during subsequent pregnancies. Methods: Focused ultrasound (FUS) is a non-ionizing, non-invasive treatment method used to treat gynecological conditions such as cervicitis and vulvovaginal disease. Results: A protocol has been developed to evaluate the value of FUS in the treatment of women of childbearing age with cervical lesions with fertility preservation. Conclusion: This study aimed to evaluate the therapeutic effect of FUS treatment and fertility protection in women of childbearing age with cervical lesions who require family planning.",The Third Affiliated Hospital of Zhengzhou University
2026,"Guo, Qin; Wang, Huaguo; Diao, Xue; Liu, Yinghong; Chen, Yanling; Long, Qiyun; Liu, Zejiang; Qi, Xing; Lin, Sheng; Song, Xuhui",Utility of PAX1/JAM3 methylation analysis for triage of high-risk HPV-positive individuals,Laboratory Medicine,10.1093/labmed/lmaf096,,"INTRODUCTION: We sought to assess the clinical utility of methylation detection of paired box gene 1 (PAX1) and junctional adhesion molecule 3 (JAM3) in the triage of individuals testing positive for high-risk human papillomavirus (HPV). METHODS: Cervical secretions from 312 high-risk HPV-positive patients were analyzed for dual-gene methylation of PAX1 and JAM3 (PAX1m/JAM3m). Methylation levels were compared across histologically confirmed cervical lesions. Using histopathology as the reference standard, the triage performance of PAX1m/JAM3m was evaluated against cytology and HPV-16/18 genotyping. RESULTS: Methylation positivity increased in statistical significance with lesion severity (P?<?.001 for trend). For the detection of cervical intraepithelial neoplasia (CIN) 2 or more severe lesions (CIN2+), PAX1m/JAM3m yielded a sensitivity of 91.8% (95% CI, 84.1%-96.2%), specificity of 90.7% (95% CI, 85.7%-94.1%), and an area under the receiver operating characteristic curve of 0.912 (95% CI, 0.874-0.951), outperforming cytology, HPV-16/18 genotyping, and their combinations. Using PAX1m/JAM3m positivity as a criterion for colposcopy referral, 1 CIN2+ case was detected per 1.22 referrals, reducing the colposcopy referral rate by approximately 19.2% and increasing the CIN2+ detection rate by 39.4% compared with cytology at the atypical squamous cells of undetermined significance threshold. DISCUSSION: PAX1m/JAM3m levels are strongly associated with cervical lesion severity and represent a promising triage strategy for high-risk HPV-positive individuals.",Ziyang Central Hospital
2026,"Feng, Shuxian; Wang, Dan; He, Qiannan; An, Yusheng; Li, Sainan; Liu, Ling",PAX1/JAM3 methylation-a novel biomarker for early detection and accurate management of cervical adenocarcinoma,American Journal of Cancer Research,10.62347/SATU5579,https://pmc.ncbi.nlm.nih.gov/articles/PMC13184748/,"Cervical adenocarcinoma is a relatively special pathological type of cervical cancer. Due to its hidden location, low sensitivity of traditional cytology, and insufficient specificity of high-risk human papillomavirus (HR-HPV) detection, it is used in early diagnosis and accurate management. It presents huge challenges. Epigenetic markers represented by DNA methylation provide new breakthroughs in the diagnosis and treatment of cervical cancer. Among them, the dual-gene methylation detection of pairing box gene 1 (PAX1) and junction adhesion molecule 3 (JAM3) has become a new molecular marker with broad prospects because of its significant hypermethylation status in cervical adenocarcinoma tissues and excellent diagnostic sensitivity and specificity. This review summarizes the biological characteristics and carcinogenic mechanism of PAX1/JAM3 double gene methylation and the latest research progress in cervical adenocarcinoma screening and diagnosis, and discusses its application value, existing challenges and future development directions in order to provide new insights and directions for the pathogenesis research and clinical diagnosis and treatment strategies of cervical adenocarcinoma.",940th Hospital of The Joint Logistic Support Force of The People’s Liberation Army  of China
2026,"Peng, Huanzi; Li, Jing; Zhou, Qun; Zhou, Hui; Peng, Jiaqi; Wang, Jing; Liu, Pei; He, Kun; Liu, Wene; Tan, Ping; Li, Lei; Xie, Xiaobing",Reply to: Comments on “Enhanced Diagnostic Accuracy of High-Grade Cervical Intraepithelial Neoplasia in Postmenopausal Women Through PAX1/JAM3 Methylation Analysis”,International Journal of Cancer,10.1002/ijc.70484,https://onlinelibrary.wiley.com/doi/10.1002/ijc.70484,Reply to: Comments on “Enhanced Diagnostic Accuracy of High-Grade Cervical Intraepithelial Neoplasia in Postmenopausal Women Through PAX1/JAM3 Methylation Analysis”,The First Hospital of Hunan University of Chinese Medicine
2026,"Fan, Guo; Xiaolu, Yu; Keremu, Yiliminuer; Weina, Kong; Xiaohui, Xu; Xiumin, Ma",Effectiveness analysis and clinical application potential exploration of combined detection of PAX1/JAM3 gene methylation in early diagnosis of cervical precancerous lesions,Clinical Epigenetics,10.1186/s13148-026-02095-z,,"BACKGROUND: The early and accurate diagnosis of cervical precancerous lesions is essential for mitigating the risk of cervical cancer. Given the limitations of traditional screening methods, such as inadequate sensitivity and low specificity, this study aims to assess the diagnostic performance of combined PAX1/JAM3 gene methylation testing for cervical intraepithelial neoplasia (CIN) and to explore its potential in triage management. Methylation testing serves as a tool for investigating the epigenetic alterations associated with diseases like cancer, thereby providing molecular biological evidence for diagnosis and prognosis. METHODS: This study included 431 cervical exfoliated cell samples, which consisted of CIN1, CIN2/3, cervical cancer (CC), and control groups. The methylation levels of the PAX1/JAM3 genes were assessed using quantitative methylation-specific PCR. The diagnostic efficacy of these genes for high-grade lesions (CIN2+) was analyzed through receiver operating characteristic (ROC) curve analysis and was compared with HPV testing and cytological examination. Additionally, the diagnostic performance of PAX1/SOX1 methylation was preliminarily evaluated in a sub-cohort of 100 cases. Further evaluation was conducted on the triage referral rate and the impact of clinical intervention using this biomarker in HPV-positive patients. RESULTS: The area under the curve (AUC) for the PAX1/JAM3 methylation test in diagnosing CIN2+ was 0.89 (95% CI: 0.85-0.92), with a sensitivity of 83.1% and a specificity of 88.8%. In the sub-cohort, the PAX1/SOX1 combination also demonstrated high diagnostic potential for CIN3+ (AUC = 0.91), serving as a validation of methylation testing efficacy. In non-HPV16/18 positive patients, the sensitivity and specificity of methylation testing for CIN2+ were superior to those of cytology. Among patients undergoing colposcopy, 265 cases had results of ≤ASCUS, of which 51 were methylation positive, resulting in a colposcopy referral rate of 19.3%. CONCLUSION: PAX1/JAM3 gene methylation testing demonstrates strong diagnostic efficacy for cervical precancerous lesions and holds significant potential in triage diagnosis. The PAX1/SOX1 panel also shows promise as a complementary biomarker.",Tumor Hospital Affiliated to Xinjiang Medical University
2025,"Peng, Huanzi; Li, Jing; Zhou, Qun; Zhou, Hui; Peng, Jiaqi; Wang, Jing; Liu, Pei; He, Kun; Liu, Wene; Tan, Ping; Li, Lei; Xie, Xiaobing",Enhanced diagnostic accuracy of high-grade cervical intraepithelial neoplasia in postmenopausal women through PAX1/JAM3 methylation analysis,International Journal of Cancer,10.1002/ijc.70245,,"This study aimed to assess the diagnostic-support and triage value of PAX1/JAM3 methylation testing for identifying high-grade cervical lesions among postmenopausal women referred for colposcopy. A total of 216 women aged ≥50?years who underwent colposcopy due to positive high-risk human papillomavirus (hrHPV)/cytology detection and/or abnormal clinical symptoms were included, and 212 women aged <50?years matched 1:1 by hrHPV and cytology results as the control group. The effectiveness of PAX1/JAM3 methylation in detecting high-grade cervical intraepithelial neoplasia (CIN) was compared to traditional screening methods. PAX1/JAM3 methylation showed a sensitivity of 93.2%[85.7%-100%] for detecting CIN2+ lesions (97.2%[91.9%-100%] for CIN3+), with a specificity of 93.6%[89.9%-97.3%] for CIN1-lesions, outperforming liquid-based cytology (LBC) (CIN2+/CIN3+ sensitivity: 75%[60.9%-89.1%]; specificity: 52.3%[44.9%-59.8%]) and the combination of LBC and hrHPV tests according to current guidelines (CIN2+/CIN3+ sensitivity: 81.8%[70.4%-93.2%]/83.3%[71.2%-95.5%]; specificity: 45.3%[37.9%-52.8%]). Methylation detection successfully identified two adenocarcinoma cases with negative hrHPV and LBC, as well as 7 patients with non-16/18 hrHPV infection that were missed by LBC. The methylation levels of PAX1 and JAM3 were elevated in elderly women with CIN2+ compared to younger women, and showed no association with HPV types. In conclusion, PAX1/JAM3 methylation testing showed promising diagnostic-support performance among postmenopausal women referred for colposcopy, suggesting potential utility as a supplementary detection method to improve diagnostic accuracy in older women.",The First Hospital of Hunan University of Chinese Medicine
2025,冯伟明; 翟燕红; 孟令欣; 陆霞; 曹正,PAX1/JAM3基因甲基化在HR-HPV感染女性中宫颈癌的诊断价值,标记免疫分析与临床,10.11748/bjmy.issn.1006-1703.2025.10.008,https://kns.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFQ&dbname=CJFDAUTO&filename=BJMY202510007,【摘 要】目的 探讨PAX1/JAM3基因甲基化（PAX1m/JAM3m）在高危型人乳头瘤病毒（HR-HPV）感染女性群体中宫颈癌的诊断价值。方法 收集2024年3月至2025年3月于首都医科大学附属北京妇产医院/北京妇幼保健院就诊的808例HR-HPV感染女性的临床资料，包括年龄、HPV分型、液基薄层细胞学（TCT）检测结果和PAX1m/JAM3m检测结果。基于HR-HPV分型和TCT检测结果，根据现行指南对需要阴道镜转诊的女性进行相应的检查和活检。根据病理学结果将研究对象分为宫颈炎、子宫颈上皮内瘤变1（CIN1）、CIN2、CIN3和宫颈癌组。通过绘制受试者工作特征（ROC）曲线评估PAX1m/JAM3m检测对宫颈癌的诊断价值，并分析HPV16/18、TCT和PAX1m/JAM3m检测3种方法在宫颈癌诊断中的相关性。,首都医科大学附属北京妇产医院
2024,"Fei, Jing; Zhai, Lingyun; Wang, Jing; Zhu, Xiaoqing; Liu, Pei; Wang, Linhai; Ma, Dongxue; Li, Lei; Zhou, Jianwei",Evaluating PAX1/JAM3 methylation for triage in HPV 16/18-infected women,Clinical Epigenetics,10.1186/s13148-024-01804-w,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01804-w,"OBJECTIVE: Referring all women who tested positive for human papillomavirus (HPV) 16/18 to colposcopy may lead to potential over-referral issues. Triage tests based on cytology results face challenges in achieving accurate diagnoses. Our study aims to assess the clinical effectiveness of PAX1/JAM3 methylation (CISCER) test as a triage method for HPV 16/18-positive women. METHODS: From November 2021 to December 2022, a total of 334 women who tested positive for HPV 16/18 and were referred to colposcopy at The Second Affiliated Hospital of Zhejiang University School of Medicine were studied. The clinical utility of the CISCER test, cytology, and the combination of CISCER with cytology as potential triage tests was compared. RESULTS: We observed a significant increase in the methylation levels of PAX1 gene and JAM3 gene in women with cervical intraepithelial neoplasia (CIN) grade 2 or severe (CIN2+). The CISCER test demonstrated superior triage performance over cytology, even when used in combination with cytology, showing a high sensitivity of 89.0% (95% confidence interval [CI] 82.9-95.1%) and specificity of 95.3% (95% CI 92.6-98.0%). It achieved an area under the curve of 0.921 (95% CI 0.877-0.966) and an odds ratio of 164.02 (95% CI 68.64-391.95). The immediate CIN2+?risk based on positive CISCER results would be 89.0% (95% CI 80.8-94.1%), with an estimated average of 1.12 referrals needed to detect one CIN2+?case. Moreover, CISCER triaging successfully identified all cancer patients and did not miss any CIN3+?cases among women aged?≥?30. CONCLUSIONS: The PAX1/JAM3 methylation detection exhibited excellent accuracy in identifying cervical precancerous lesions in HPV 16/18-positive women and could be considered as a triage tool to reduce excessive referrals for colposcopy and overtreatment.","The Second Affiliated Hospital, Zhejiang University School of Medicine"
